gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,43,1,1,58.24,2501.54,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
0,0,0,1,69,1,0,18.0,1234.5,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,50,1,1,80.07,3999.43,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
0,1,0,0,30,1,1,73.58,2193.6,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,1,40,1,0,65.96,2650.9,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
0,0,1,0,57,1,1,50.33,2858.54,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
0,1,1,0,4,1,1,76.14,310.3,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,0,0,0,32,1,0,52.97,1694.94,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0,1,0,42,1,1,79.1,3315.78,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0,1,1,18,1,0,52.21,943.41,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,31,0,1,20.29,635.45,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,2,1,0,24.06,49.76,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,1,1,0,56.75,58.78,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0,40,1,0,42.06,1667.87,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,1,0,47,1,0,83.07,3905.55,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
1,0,1,0,38,1,1,72.51,2765.82,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0,1,1,0,4,1,0,44.0,187.91,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,10,1,1,80.39,812.03,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,21,1,0,19.1,402.95,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,1,0,63,1,1,59.22,3744.54,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
1,0,1,0,11,1,1,54.26,595.37,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,52,1,1,88.19,4591.32,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
1,0,1,0,54,1,1,23.46,1277.29,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,1,52,1,0,50.45,2632.15,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
1,0,1,1,20,1,1,82.06,1639.61,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
1,0,1,0,18,1,1,72.67,1303.1,0,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
1,0,1,0,68,1,1,18.08,1235.56,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,71,1,1,79.21,5612.96,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
0,0,1,0,65,1,0,91.89,5970.7,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,0,1,58,0,1,23.92,1384.6,1,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,1,0,48,1,1,81.96,3926.8,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,1,0,0,58,1,0,68.12,3952.46,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,0,22,1,1,47.04,1042.18,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,2,1,0,91.66,186.87,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
1,0,1,0,55,1,1,53.2,2948.63,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,57,1,1,29.41,1671.89,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,0,61,1,1,80.95,4932.56,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,0,0,17,1,1,23.42,393.65,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,0,60,1,1,59.0,3534.01,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,1,36,1,0,51.8,1865.17,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
1,1,0,0,53,1,1,72.33,3834.87,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,0,64,1,1,50.3,3241.61,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,0,13,1,0,60.6,805.97,1,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
0,0,0,0,4,1,0,18.0,86.92,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,0,61,1,1,60.39,3690.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
0,0,1,0,1,1,0,81.35,77.05,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True
1,0,0,0,62,1,1,27.16,1679.89,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,0,66,1,0,51.76,3401.92,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0,0,1,19,1,1,72.12,1362.96,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,1,0,42,1,1,21.93,917.59,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,1,41,1,0,28.94,1198.92,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,1,68,1,1,74.37,5062.12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,0,0,38,1,1,27.44,1050.58,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,1,0,0,61,1,0,61.9,3781.49,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
0,0,1,1,47,1,0,65.8,3091.86,0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
1,0,0,0,5,1,1,73.58,374.63,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,0,41,1,0,78.95,3246.6,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
0,0,0,1,57,1,1,72.59,4133.64,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,0,0,0,42,1,0,83.55,3523.1,0,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True
1,0,0,0,9,0,0,18.13,161.06,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,38,1,0,89.8,3403.14,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
0,0,1,0,12,1,1,22.38,258.79,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,38,1,0,81.55,3099.29,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,1,0,10,1,0,75.15,757.92,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,0,0,15,1,1,80.92,1211.85,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,32,1,0,81.12,2599.1,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,0,0,0,59,1,1,92.44,5444.47,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
1,0,1,0,58,1,1,22.39,1303.43,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1,50,1,0,19.95,1004.63,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
1,0,1,1,14,1,1,74.39,1037.6,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,42,1,0,24.11,999.77,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,1,0,26,1,0,86.98,2250.72,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,0,0,1,55,1,1,53.63,2951.46,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,1,0,59,1,0,90.98,5376.05,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,0,1,69,1,1,67.68,4657.55,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,1,46,1,1,81.93,3771.0,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
1,0,0,1,7,1,0,25.94,167.14,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,62,1,1,21.99,1377.18,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,6,1,1,72.92,446.2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,1,1,0,1,20.95,32.63,1,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,0,16,1,0,85.87,1380.29,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,0,0,1,3,0,1,81.56,249.16,1,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,1,0,25,0,1,19.56,464.03,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,0,1,1,71,1,1,70.89,5038.4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
0,0,0,0,68,1,0,76.66,5204.57,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,0,4,1,1,24.17,106.22,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,4,1,1,64.8,250.78,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
1,1,1,1,68,1,1,22.59,1523.83,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
