customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0011,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,57.09,3823.86,No
CUST-0012,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),62.24,3539.36,No
CUST-0013,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),83.91,4528.54,No
CUST-0014,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),72.69,927.84,No
CUST-0015,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,63.34,2275.93,No
CUST-0016,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),66.19,2837.05,Yes
CUST-0017,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.83,110.6,No
CUST-0018,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.3,699.07,No
CUST-0019,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,72.19,943.83,No
CUST-0020,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.91,451.58,Yes
CUST-0021,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,44.07,1014.68,No
CUST-0022,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.74,889.17,No
CUST-0023,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,77.66,3734.01,No
CUST-0024,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.86,4766.93,No
CUST-0025,Female,0,No,No,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.65,1470.84,No
CUST-0026,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.72,418.15,No
CUST-0027,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,68.14,3871.61,No
CUST-0028,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,71.77,933.52,Yes
CUST-0029,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,85.86,6195.48,No
CUST-0030,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),60.76,4254.33,No
CUST-0031,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.92,807.5,No
CUST-0032,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,82.48,2467.97,No
CUST-0033,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.06,4080.82,Yes
CUST-0034,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,71.78,1100.47,No
CUST-0035,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),66.81,4759.33,No
CUST-0036,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.03,3492.06,No
CUST-0037,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.81,983.42,Yes
CUST-0038,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),55.98,2050.05,No
CUST-0039,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),87.25,6110.37,No
CUST-0040,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,85.09,6037.22,No
CUST-0041,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.52,645.39,No
CUST-0042,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,81.13,1223.97,Yes
CUST-0043,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),82.84,5457.89,No
CUST-0044,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.58,1713.25,No
CUST-0045,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.11,1035.12,Yes
CUST-0046,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),68.31,4289.37,No
CUST-0047,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.04,5162.3,No
CUST-0048,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),64.82,2018.42,No
CUST-0049,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,93.64,1024.27,Yes
CUST-0050,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.72,2950.75,No
CUST-0051,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.16,5660.26,Yes
CUST-0052,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.2,364.91,Yes
CUST-0053,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,66.94,3887.06,No
CUST-0054,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),81.5,1953.08,Yes
CUST-0055,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.64,314.96,Yes
CUST-0056,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.54,2931.25,No
CUST-0057,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,19.01,No
CUST-0058,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),65.35,2677.86,Yes
CUST-0059,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.0,813.96,No
CUST-0060,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.57,145.73,Yes
CUST-0061,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,56.2,2534.75,Yes
CUST-0062,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),56.17,1177.62,No
CUST-0063,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,81.86,2621.55,No
CUST-0064,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.61,755.87,No
CUST-0065,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.43,315.96,No
CUST-0066,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,52.66,2882.04,No
CUST-0067,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,83.95,172.96,Yes
CUST-0068,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),62.99,4348.19,Yes
CUST-0069,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,47.0,2266.38,No
CUST-0070,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.39,1374.35,No
CUST-0071,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.13,733.85,No
CUST-0072,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),79.31,1562.11,Yes
CUST-0073,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,53.91,810.45,No
CUST-0074,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,77.2,1238.24,Yes
CUST-0075,Female,1,Yes,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),53.48,46.94,Yes
CUST-0076,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1268.77,No
CUST-0077,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.65,2022.03,No
CUST-0078,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,55.02,3587.64,No
CUST-0079,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,43.63,1573.34,No
CUST-0080,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.38,648.69,No
CUST-0081,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,82.46,5041.35,No
CUST-0082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,77.96,1546.93,Yes
CUST-0083,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,58.33,2105.6,No
CUST-0084,Male,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,43.38,1473.17,No
CUST-0085,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),57.16,2119.81,No
CUST-0086,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,53.26,2753.91,No
CUST-0087,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,76.8,1094.45,Yes
CUST-0088,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),75.48,3108.96,No
CUST-0089,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.12,227.59,Yes
CUST-0090,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,57.02,2155.89,No
CUST-0091,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),68.62,1519.44,No
CUST-0092,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.8,1263.64,Yes
CUST-0093,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),84.66,913.52,Yes
CUST-0094,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,1244.8,No
CUST-0095,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),79.43,4225.59,No
CUST-0096,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),83.86,3110.3,No
CUST-0097,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.69,2428.42,Yes
CUST-0098,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.63,479.13,No
CUST-0099,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.44,3489.41,No
CUST-0100,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.33,1282.73,No
CUST-0101,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.21,282.04,Yes
CUST-0102,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.28,154.82,No
CUST-0103,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.67,286.93,No
CUST-0104,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.18,4017.09,No
CUST-0105,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,83.91,519.62,No
CUST-0106,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,89.44,3854.21,No
CUST-0107,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.3,1814.64,No
CUST-0108,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.47,42.31,No
CUST-0109,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.11,855.87,No
CUST-0110,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.72,1406.45,No
CUST-0111,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,74.27,1413.07,No
CUST-0112,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),58.24,2501.54,No
CUST-0113,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,1234.5,No
CUST-0114,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),80.07,3999.43,No
CUST-0115,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.58,2193.6,No
CUST-0116,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),65.96,2650.9,No
CUST-0117,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,50.33,2858.54,No
CUST-0118,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,76.14,310.3,No
CUST-0119,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),52.97,1694.94,Yes
CUST-0120,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),79.1,3315.78,No
CUST-0121,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),52.21,943.41,No
CUST-0122,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.29,635.45,No
CUST-0123,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.06,49.76,No
CUST-0124,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),56.75,58.78,Yes
CUST-0125,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,42.06,1667.87,No
CUST-0126,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,83.07,3905.55,No
CUST-0127,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,72.51,2765.82,No
CUST-0128,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.0,187.91,No
CUST-0129,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.39,812.03,No
CUST-0130,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.1,402.95,No
CUST-0131,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,59.22,3744.54,No
CUST-0132,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.26,595.37,No
CUST-0133,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),88.19,4591.32,No
CUST-0134,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.46,1277.29,No
CUST-0135,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,50.45,2632.15,No
CUST-0136,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,82.06,1639.61,No
CUST-0137,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.67,1303.1,No
CUST-0138,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.08,1235.56,No
CUST-0139,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,79.21,5612.96,No
CUST-0140,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,91.89,5970.7,No
CUST-0141,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.92,1384.6,Yes
CUST-0142,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),81.96,3926.8,No
CUST-0143,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,68.12,3952.46,No
CUST-0144,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.04,1042.18,Yes
CUST-0145,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.66,186.87,No
CUST-0146,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.2,2948.63,No
CUST-0147,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.41,1671.89,No
CUST-0148,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),80.95,4932.56,Yes
CUST-0149,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.42,393.65,Yes
CUST-0150,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.0,3534.01,No
CUST-0151,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,51.8,1865.17,No
CUST-0152,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,72.33,3834.87,No
CUST-0153,Male,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),50.3,3241.61,No
CUST-0154,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,60.6,805.97,Yes
CUST-0155,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,86.92,No
CUST-0156,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,60.39,3690.0,No
CUST-0157,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,81.35,77.05,No
CUST-0158,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.16,1679.89,No
CUST-0159,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,51.76,3401.92,No
CUST-0160,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,72.12,1362.96,No
CUST-0161,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.93,917.59,No
CUST-0162,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.94,1198.92,No
CUST-0163,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,74.37,5062.12,No
CUST-0164,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.44,1050.58,No
CUST-0165,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Mailed check,61.9,3781.49,Yes
CUST-0166,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,65.8,3091.86,No
CUST-0167,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.58,374.63,No
CUST-0168,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),78.95,3246.6,No
CUST-0169,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),72.59,4133.64,No
CUST-0170,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,83.55,3523.1,No
CUST-0171,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.13,161.06,No
CUST-0172,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),89.8,3403.14,No
CUST-0173,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.38,258.79,Yes
CUST-0174,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,81.55,3099.29,No
CUST-0175,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,75.15,757.92,No
CUST-0176,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.92,1211.85,No
